id,english_name,vietnamese_name,primary_category,secondary_category
TERM-000383,Butt Extension,Thêm Đuôi,Fundamentals,Equipment
TERM-000384,Belly Stick,Thêm Bụng,Fundamentals,Equipment
TERM-000385,Rest,Giải Lao,Fundamentals,Equipment
TERM-000386,Spider Rest,Nhện,Fundamentals,Equipment
TERM-000387,Fish Tail Rest,Đuôi Cá,Fundamentals,Equipment
TERM-000388,Cross Head Rest,Đầu Chéo,Fundamentals,Equipment
TERM-000389,Hook Rest,Móc,Fundamentals,Equipment
TERM-000390,Crank Rest,Quay,Fundamentals,Equipment
TERM-000391,Ghost Ball,Bóng Ma,Fundamentals,Aiming
TERM-000392,Ghost Ball Method,Phương Pháp Bóng Ma,Fundamentals,Aiming
TERM-000393,Parallel Line,Đường Song Song,Fundamentals,Aiming
TERM-000394,Parallel Line Method,Phương Pháp Song Song,Fundamentals,Aiming
TERM-000395,Contact Point Method,Phương Pháp Điểm Chạm,Fundamentals,Aiming
TERM-000396,CB Object Ball Method,Phương Pháp CB-OB,Fundamentals,Aiming
TERM-000397,Fit Method,Phương Pháp Fit,Fundamentals,Aiming
TERM-000398,Vectors,Vector,Fundamentals,Aiming
TERM-000399,System,Tiêu Chuẩn,Fundamentals,Terminology
TERM-000400,English Spin,Spin,Pool Shots,Spin Shots
TERM-000401,Center Ball Hit,Đánh Giữa Bóng,Pool Shots,Basic Shots
TERM-000402,Off Center Hit,Đánh Lệch Tâm,Pool Shots,Basic Shots
TERM-000403,Full Tip Hit,Đánh Đầy Mặt,Pool Shots,Basic Shots
TERM-000404,Half Tip Hit,Đánh Nửa Mặt,Pool Shots,Basic Shots
TERM-000405,Quarter Tip Hit,Đánh Một Phần Tư,Pool Shots,Basic Shots
TERM-000406,Edge Hit,Đánh Mép,Pool Shots,Basic Shots
TERM-000407,Face Tip Hit,Đánh Đầu Mặt,Pool Shots,Basic Shots
TERM-000408,Spin Axis,Trục Xoáy,Pool Shots,Spin Shots
TERM-000409,Vertical Axis,Trục Dọc,Pool Shots,Spin Shots
TERM-000410,Horizontal Axis,Trục Ngang,Pool Shots,Spin Shots
TERM-000411,Axis Tilt,Nghiêng Trục,Pool Shots,Spin Shots
TERM-000412,Spin Direction,Hướng Xoáy,Pool Shots,Spin Shots
TERM-000413,Clock System,Hệ Thống Đồng Hồ,Pool Shots,Spin Shots
TERM-000414,Clock Face,Mặt Đồng Hồ,Pool Shots,Spin Shots
TERM-000415,12 O'Clock,12 Giờ,Pool Shots,Spin Shots
TERM-000416,3 O'Clock,3 Giờ,Pool Shots,Spin Shots
TERM-000417,6 O'Clock,6 Giờ,Pool Shots,Spin Shots
TERM-000418,9 O'Clock,9 Giờ,Pool Shots,Spin Shots
TERM-000419,Spin Percentage,Phần Trăm Xoáy,Pool Shots,Spin Shots
TERM-000420,Speed Percentage,Phần Trăm Tốc Độ,Pool Shots,Advanced Shots
TERM-000421,Power Percentage,Phần Trăm Lực,Pool Shots,Advanced Shots
TERM-000422,Speed Control,Kiểm Soát Tốc Độ,Pool Shots,Advanced Shots
TERM-000423,Force Control,Kiểm Soát Lực,Pool Shots,Advanced Shots
TERM-000424,Distance Control,Kiểm Soát Khoảng Cách,Pool Shots,Advanced Shots
TERM-000425,Position Control,Kiểm Soát Vị Trí,Pool Shots,Advanced Shots
TERM-000426,Angle Control,Kiểm Soát Góc,Pool Shots,Advanced Shots
TERM-000427,Shot Clock,Đồng Hồ Bắn,Competition,Match Play
TERM-000428,Shot Timer,Bộ Đếm Giờ,Competition,Match Play
TERM-000429,Time Limit,Giới Hạn Thời Gian,Competition,Match Play
TERM-000430,45 Second Rule,Quy Tắc 45 Giây,Competition,Match Play
TERM-000431,30 Second Rule,Quy Tắc 30 Giây,Competition,Match Play
TERM-000432,25 Second Rule,Quy Tắc 25 Giây,Competition,Match Play
TERM-000433,15 Second Rule,Quy Tắc 15 Giây,Competition,Match Play
TERM-000434,10 Second Rule,Quy Tắc 10 Giây,Competition,Match Play
TERM-000435,Interval Shot Clock,Đồng Hồ Khoảng,Competition,Match Play
TERM-000436,Standard Shot Clock,Đồng Hồ Tiêu Chuẩn,Competition,Match Play
TERM-000437,Shot Count,Đếm Lần Đánh,Competition,Match Play
TERM-000438,Stroke Count,Đếm Nhát Đánh,Competition,Match Play
TERM-000439,Pot Count,Đếm Bóng Vào,Competition,Match Play
TERM-000440,Innings Count,Đếm Lượt Đánh,Competition,Match Play
TERM-000441,Match Length,Chiều Dài Trận,Competition,Match Play
TERM-000442,Best of,Hơn,Competition,Match Play
TERM-000443,First to,Đầu Tiên,Competition,Match Play
TERM-000444,One Frame Match,Một Ván,Competition,Match Play
TERM-000445,Three Frame Match,Ba Ván,Competition,Match Play
TERM-000446,Five Frame Match,Năm Ván,Competition,Match Play
TERM-000447,Seven Frame Match,Bảy Ván,Competition,Match Play
TERM-000448,Nine Frame Match,Chín Ván,Competition,Match Play
TERM-000449,Eleven Frame Match,Mười Một Ván,Competition,Match Play
TERM-000450,Fifteen Frame Match,Mười Lăm Ván,Competition,Match Play
TERM-000451,Short Frame Match,Ván Ngắn,Competition,Match Play
TERM-000452,Scotch Doubles,Đánh Đôi Scotch,Competition,Match Play
TERM-000453,Doubles,Đánh Đôi,Competition,Match Play
TERM-000454,Team Event,Sự Kiện Đội,Competition,Match Play
TERM-000455,Team Match,Trận Đội,Competition,Match Play
TERM-000456,Team Competition,Thi Đấu Đội,Competition,Match Play
TERM-000457,World Championship,Vô Địch Thế Giới,Competition,Tournament Rules
TERM-000458,World Cup,Cúp Thế Giới,Competition,Tournament Rules
TERM-000459,World Open,Mở Thế Giới,Competition,Tournament Rules
TERM-000460,Masters,Bậc Thầy,Competition,Tournament Rules
TERM-000461,The Masters,Bậc Thầy,Competition,Tournament Rules
TERM-000462,UK Championship,Vô Địch UK,Competition,Tournament Rules
TERM-000463,British Open,Mở Anh,Competition,Tournament Rules
TERM-000464,Ranking Event,Sự Kiện Xếp Hạng,Competition,Tournament Rules
TERM-000465,Non-Ranking Event,Sự Kiện Không Xếp Hạng,Competition,Tournament Rules
TERM-000466,Invitational Event,Sự Kiện Mời,Competition,Tournament Rules
TERM-000467,Pro-Am,Sự Kiện Chuyên Nghiệp,Competition,Tournament Rules
TERM-000468,Amateur Event,Sự Kiện Nghiệp Dư,Competition,Tournament Rules
TERM-000469,Junior Event,Sự Kiện Trẻ,Competition,Tournament Rules
TERM-000470,Ladies Event,Sự Kiện Nữ,Competition,Tournament Rules
TERM-000471,Wheelchair Event,Sự Kiện Xe Lăn,Competition,Tournament Rules
TERM-000472,Exhibition,Trưng Bày,Competition,Tournament Rules
TERM-000473,Demonstration,Biểu Diễn,Competition,Tournament Rules
TERM-000474,Challenge Match,Thách Đấu,Competition,Match Play
TERM-000475,Monetary Match,Đấu Tiền,Competition,Match Play
TERM-000476,Gambling Match,Đấu Cược,Competition,Match Play
TERM-000477,Hustle,Lừa Đảo,Competition,Match Play
TERM-000478,Hustling,Lừa Đảo,Competition,Match Play
TERM-000479,Practice,Luyện Tập,Training,Practice Routines
TERM-000480,Drill,Bài Tập,Training,Drills
TERM-000481,Practice Drill,Bài Tập Luyện,Training,Drills
TERM-000482,Training Drill,Bài Tập Huấn Luyện,Training,Drills
TERM-000483,Skill Drill,Bài Tập Kỹ Năng,Training,Drills
TERM-000484,Shot Drill,Bài Tập Đánh,Training,Drills
TERM-000485,Position Drill,Bài Tập Vị Trí,Training,Drills
TERM-000486,Safety Drill,Bài Tập An Toàn,Training,Drills
TERM-000487,Break Drill,Bài Tập Break,Training,Drills
TERM-000488,Bank Shot Drill,Bài Tập Băng,Training,Drills
TERM-000489,Kick Shot Drill,Bài Tập Đá,Training,Drills
TERM-000490,Spin Drill,Bài Tập Xoáy,Training,Drills
TERM-000491,English Drill,Bài Tập Xoáy Ngang,Training,Drills
TERM-000492,Draw Shot Drill,Bài Tập Cắt Đít,Training,Drills
TERM-000493,Follow Shot Drill,Bài Tập Đi Theo,Training,Drills
TERM-000494,Cut Shot Drill,Bài Tập Cắt,Training,Drills
TERM-000495,Distance Drill,Bài Tập Khoảng Cách,Training,Drills
TERM-000496,Long Distance Drill,Bài Tập Xa,Training,Drills
TERM-000497,Speed Drill,Bài Tập Tốc Độ,Training,Drills
TERM-000498,Pace Drill,Bài Tập Nhịp,Training,Drills
TERM-000499,Routine Drill,Bài Tập Thói Quen,Training,Drills
TERM-000500,Pattern Drill,Bài Tập Mẫu,Training,Drills
TERM-000501,Control Drill,Bài Tập Kiểm Soát,Training,Drills
TERM-000502,Accuracy Drill,Bài Tập Chính Xác,Training,Drills
TERM-000503,Consistency Drill,Bài Tập Nhất Quán,Training,Drills
TERM-000504,Fundamental Drill,Bài Tập Cơ Bản,Training,Drills
TERM-000505,Advanced Drill,Bài Tập Nâng Cao,Training,Drills
TERM-000506,Beginner Drill,Bài Tập Người Mới,Training,Drills
TERM-000507,Intermediate Drill,Bài Tập Trung Cấp,Training,Drills
TERM-000508,Pro Drill,Bài Tập Chuyên Nghiệp,Training,Drills
TERM-000509,Practice Routine,Thói Quen Luyện Tập,Training,Practice Routines
TERM-000510,Daily Routine,Thói Quen Hàng Ngày,Training,Practice Routines
TERM-000511,Weekly Routine,Thói Quen Hàng Tuần,Training,Practice Routines
TERM-000512,Pre-Match Routine,Thói Quen Trước Trận,Training,Practice Routines
TERM-000513,Pre-Shot Routine,Thói Quen Trước Đánh,Training,Practice Routines
TERM-000514,Routine,Thói Quen,Training,Practice Routines
TERM-000515,Visualization,Hình Dung,Training,Mental Game
TERM-000516,Mental Practice,Luyện Tập Tâm Lý,Training,Mental Game
TERM-000517,Mental Training,Huấn Luyện Tâm Lý,Training,Mental Game
TERM-000518,Mental Game,Trò Chơi Tâm Lý,Training,Mental Game
TERM-000519,Mindset,Tư Duy,Training,Mental Game
TERM-000520,Focus,Tập Trung,Training,Mental Game
TERM-000521,Concentration,Tập Trung,Training,Mental Game
TERM-000522,Relaxation,Thư Giãn,Training,Mental Game
TERM-000523,Breathing,Hít Thở,Training,Mental Game
TERM-000524,Deep Breathing,Hít Thở Sâu,Training,Mental Game
TERM-000525,Confidence,Tự Tin,Training,Mental Game
TERM-000526,Self Belief,Tin Tưởng Bản Thân,Training,Mental Game
TERM-000527,Positive Thinking,Tư Duy Tích Cực,Training,Mental Game
TERM-000528,Negative Thinking,Tư Duy Tiêu Cực,Training,Mental Game
TERM-000529,Self Talk,Nói Chuyện Với Bản Thân,Training,Mental Game
TERM-000530,Internal Dialogue,Đối Thoại Nội Tâm,Training,Mental Game
TERM-000531,Routine Development,Phát Triển Thói Quen,Training,Mental Game
TERM-000532,Goal Setting,Đặt Mục Tiêu,Training,Mental Game
TERM-000533,Mental Rehearsal,Tập Luyện Tâm Lý,Training,Mental Game
TERM-000534,Pre-Performance Routine,Thói Quen Trước Khi Chơi,Training,Mental Game
TERM-000535,Pressure,Khách,Training,Mental Game
TERM-000536,Performance Pressure,Khách Hiệu Suất,Training,Mental Game
TERM-000537,Competitive Pressure,Khách Cạnh Tranh,Training,Mental Game
TERM-000538,Nerves,Thần Kinh,Training,Mental Game
TERM-000539,Anxiety,Lo Lắng,Training,Mental Game
TERM-000540,Choking,Nghẹn,Training,Mental Game
TERM-000541,Tilt,Nghiêng,Training,Mental Game
TERM-000542,Going on Tilt,Nghiêng,Training,Mental Game
TERM-000543,Steam,Steam,Training,Mental Game
TERM-000544,Going on Steam,Steam,Training,Mental Game
TERM-000545,Bad Beat,Thua Đau,Training,Mental Game
TERM-000546,Bad Run,Chuỗi Xấu,Training,Mental Game
TERM-000547,Good Run,Chuỗi Tốt,Training,Mental Game
TERM-000548,Hot Run,Chuỗi Nóng,Training,Mental Game
TERM-000549,Cold Run,Chuỗi Lạnh,Training,Mental Game
TERM-000550,Streak,Chuỗi,Training,Mental Game
TERM-000551,Losing Streak,Chuỗi Thua,Training,Mental Game
TERM-000552,Winning Streak,Chuỗi Thắng,Training,Mental Game
TERM-000553,Table Share,Chia Sẻ Bàn,Competition,Match Play
TERM-000554,Table Time,Thời Gian Bàn,Competition,Match Play
TERM-000555,Playing Time,Thời Gian Chơi,Competition,Match Play
TERM-000556,Match Time,Thời Gian Trận,Competition,Match Play
TERM-000557,Game Time,Thời Gian Ván,Competition,Match Play
TERM-000558,Frame Time,Thời Gian Khung,Competition,Match Play
TERM-000559,Elapsed Time,Thời Gian Trôi,Competition,Match Play
TERM-000560,Shot Time,Thời Gian Đánh,Competition,Match Play
TERM-000561,Interval,Khoảng,Competition,Match Play
TERM-000562,Time Out,Nghỉ,Competition,Match Play
TERM-000563,Technical Time Out,Nghỉ Kỹ Thuật,Competition,Match Play
TERM-000564,Toilet Break,Nghỉ WC,Competition,Match Play
TERM-000565,Comfort Break,Nghỉ Giải Lao,Competition,Match Play
TERM-000566,Smoking Break,Nghỉ Hút Thuốc,Competition,Match Play
TERM-000567,Official,Viên Chức,Competition,Tournament Rules
TERM-000568,Referee,Trọng Tài,Competition,Tournament Rules
TERM-000569,Umpire,Trọng Tài,Competition,Tournament Rules
TERM-000570,Matches Secretary,Thư Ký Trận,Competition,Tournament Rules
TERM-000571,Tournament Director,Giám Đốc Giải,Competition,Tournament Rules
TERM-000572,Sponsor,Nhà Tài Trợ,Competition,Tournament Rules
TERM-000573,Organizer,Nhà Tổ Chức,Competition,Tournament Rules
TERM-000574,Promoter,Người Quảng Bá,Competition,Tournament Rules
TERM-000575,Broadcaster,Nhà Phát Sóng,Competition,Tournament Rules
TERM-000576,Commentator,Bình Luận Viên,Competition,Tournament Rules
TERM-000577,Commentary,Bình Luận,Competition,Tournament Rules
TERM-000578,Analysis,Phân Tích,Competition,Tournament Rules
TERM-000579,Expert Analysis,Phân Tích Chuyên Gia,Competition,Tournament Rules
TERM-000580,Tactical Analysis,Phân Tích Chiến Thuật,Competition,Tournament Rules
TERM-000581,Match Analysis,Phân Tích Trận,Competition,Tournament Rules
TERM-000582,Technical Analysis,Phân Tích Kỹ Thuật,Competition,Tournament Rules
TERM-000583,Performance Analysis,Phân Tích Hiệu Suất,Competition,Tournament Rules
TERM-000584,Shot Analysis,Phân Tích Đánh,Competition,Tournament Rules
TERM-000585,Break Analysis,Phân Tích Break,Competition,Tournament Rules
TERM-000586,Video Analysis,Phân Tích Video,Competition,Tournament Rules
TERM-000587,Data Analysis,Phân Tích Dữ Liệu,Competition,Tournament Rules
TERM-000588,Statistics,Thống Kê,Competition,Tournament Rules
TERM-000589,Performance Statistics,Thống Kê Hiệu Suất,Competition,Tournament Rules
TERM-000590,Career Statistics,Thống Kê Sự Nghiệp,Competition,Tournament Rules
TERM-000591,Head to Head,Đối Đầu,Competition,Tournament Rules
TERM-000592,Record,Kỷ Lục,Competition,Tournament Rules
TERM-000593,Win Loss Record,Kỷ Lục Thắng Thua,Competition,Tournament Rules
TERM-000594,Career Record,Kỷ Lục Sự Nghiệp,Competition,Tournament Rules
TERM-000595,Frame Win Rate,Tỷ Lệ Thắng Ván,Competition,Tournament Rules
TERM-000596,Pot Success Rate,Tỷ Lệ Đánh Vào,Competition,Tournament Rules
TERM-000597,Safety Success Rate,Tỷ Lệ An Toàn,Competition,Tournament Rules
TERM-000598,Long Pot Success,Tỷ Lệ Đường Dài,Competition,Tournament Rules
TERM-000599,Clearance Success,Tỷ Lệ Thanh Toán,Competition,Tournament Rules
TERM-000600,Break and Run Success,Tỷ Lệ Phá Chạy,Competition,Tournament Rules
TERM-000601,Maximum Break,Break Tối Đa,Pool Shots,Advanced Shots
TERM-000602,147,147,Pool Shots,Advanced Shots
TERM-000603,Maximum,Maximum,Pool Shots,Advanced Shots
TERM-000604,Century,Thế Kỷ,Pool Shots,Advanced Shots
TERM-000605,100 Plus,100+,Pool Shots,Advanced Shots
TERM-000606,50 Break,Break 50,Pool Shots,Advanced Shots
TERM-000607,Break Off,Break Off,Pool Shots,Advanced Shots
TERM-000608,Pack,Khối,Pool Shots,Advanced Shots
TERM-000609,Ball Pack,Bóng Khối,Pool Shots,Advanced Shots
TERM-000610,Pink Ball,Bóng Hồng,Pool Shots,Advanced Shots
TERM-000611,Pink,Khối,Pool Shots,Advanced Shots
TERM-000612,Black Ball,Bóng Đen,Pool Shots,Advanced Shots
TERM-000613,Black,Đen,Pool Shots,Advanced Shots
TERM-000614,Yellow Ball,Bóng Vàng,Pool Shots,Advanced Shots
TERM-000615,Yellow,Vàng,Pool Shots,Advanced Shots
TERM-000616,Green Ball,Bóng Xanh,Pool Shots,Advanced Shots
TERM-000617,Green,Xanh,Pool Shots,Advanced Shots
TERM-000618,Brown Ball,Bóng Nâu,Pool Shots,Advanced Shots
TERM-000619,Brown,Nâu,Pool Shots,Advanced Shots
TERM-000620,Blue Ball,Bóng Xanh Dương,Pool Shots,Advanced Shots
TERM-000621,Blue,Xanh Dương,Pool Shots,Advanced Shots
TERM-000622,Red Ball,Bóng Đỏ,Pool Shots,Advanced Shots
TERM-000623,Red,Đỏ,Pool Shots,Advanced Shots
TERM-000624,Free Ball,Bóng Miễn Phí,Safety Play,Defensive Shots
TERM-000625,Free Ball Award,Thưởng Bóng Miễn Phí,Safety Play,Defensive Shots
TERM-000626,Free Ball After Foul,Bóng Miễn Phí Sau Lỗi,Safety Play,Defensive Shots
TERM-000627,Extra Shot,Nhát Đánh Thêm,Safety Play,Defensive Shots
TERM-000628,Additional Shot,Nhát Đánh Thêm,Safety Play,Defensive Shots
TERM-000629,Rest of Innings,Nghỉ Lượt Đánh,Competition,Match Play
TERM-000630,Innings Continues,Lượt Đánh Tiếp Tục,Competition,Match Play
TERM-000631,Turn,Kỳ,Competition,Match Play
TERM-000632,Chance,Cơ Hội,Pool Shots,Advanced Shots
TERM-000633,Big Chance,Cơ Hội Lớn,Pool Shots,Advanced Shots
TERM-000634,Gift,H Ges,Pool Shots,Advanced Shots
TERM-000635,Gifted Chance,Cơ Hội Được Tặng,Pool Shots,Advanced Shots
TERM-000636,Must Make,Bắt Buộc Làm,Pool Shots,Advanced Shots
TERM-000637,Must Pot,Bắt Buộc Bỏ Túi,Pool Shots,Advanced Shots
TERM-000638,Should Make,Nên Làm,Pool Shots,Advanced Shots
TERM-000639,Difficult Shot,Đường Khó,Pool Shots,Advanced Shots
TERM-000640,Easy Shot,Đường Dễ,Pool Shots,Advanced Shots
TERM-000641,Simple Shot,Đường Đơn Giản,Pool Shots,Advanced Shots
TERM-000642,Straightforward Shot,Đường Thẳng,Pool Shots,Advanced Shots
TERM-000643,Diagonal Shot,Đường Chéo,Pool Shots,Advanced Shots
TERM-000644,Tight Pocket Shot,Đường Túi Chặt,Pool Shots,Advanced Shots
TERM-000645,Long Pocket Shot,Đường Túi Dài,Pool Shots,Advanced Shots
TERM-000646,Corner Pocket Shot,Đường Túi Góc,Pool Shots,Advanced Shots
TERM-000647,Side Pocket Shot,Đường Túi Bên,Pool Shots,Advanced Shots
TERM-000648,Center Pocket Shot,Đường Túi Giữa,Pool Shots,Advanced Shots
TERM-000649,Dead Angle Shot,Đường Góc Chết,Pool Shots,Advanced Shots
TERM-000650,Across the Table Shot,Đường Qua Bàn,Pool Shots,Advanced Shots
TERM-000651,Distance Long Shot,Đường Dài Khoảng Cách,Pool Shots,Advanced Shots
TERM-000652,Pressure Shot,Đường Khách,Pool Shots,Advanced Shots
TERM-000653,Pressure Long Shot,Đường Khách Dài,Pool Shots,Advanced Shots
TERM-000654,Fluke,Trớ Trêu,Pool Shots,Advanced Shots
TERM-000655,Lucky,May Mắn,Pool Shots,Advanced Shots
TERM-000656,Lucky Shot,Đường May Mắn,Pool Shots,Advanced Shots
TERM-000657,Fluke Shot,Đường Trớ Trêu,Pool Shots,Advanced Shots
TERM-000658,Thin Edge,Biên Mỏng,Pool Shots,Cut Shots
TERM-000659,Milled Edge,Biên Nghiền,Pool Shots,Cut Shots
TERM-000660,Angle Finder,Dụng Cụ Tìm Góc,Fundamentals,Equipment
TERM-000661,Level,Bình,Fundamentals,Equipment
TERM-000662,Laser Level,Bình Laser,Fundamentals,Equipment
TERM-000663,Training Aid,Công Cụ Luyện Tập,Training,Drills
TERM-000664,Training Ball,Bóng Luyện Tập,Fundamentals,Equipment
TERM-000665,Practice Ball,Bóng Tập,Fundamentals,Equipment
TERM-000666,Object Ball Target,Bia Bóng Mục Tiêu,Training,Drills
TERM-000667,Cue Ball Target,Bia Bóng Cơ,Training,Drills
TERM-000668,Target Ball,Bóng Mục Tiêu,Fundamentals,Equipment
TERM-000669,Spot Ball,Bóng Điểm,Fundamentals,Equipment
TERM-000670,White Ball,Bóng Trắng,Fundamentals,Equipment
TERM-000671,Red Ball Set,Bộ Bóng Đỏ,Fundamentals,Equipment
TERM-000672,Solids,Khối,Disciplines,Eight Ball
TERM-000673,Stripes,Sọc,Disciplines,Eight Ball
TERM-000674,Full Ball,Bóng Đầy,Disciplines,Eight Ball
TERM-000675,Colors,Màu,Disciplines,Eight Ball
TERM-000676,Colour Ball,Bóng Màu,Disciplines,Eight Ball
TERM-000677,Colour of the Ball,Màu Của Bóng,Disciplines,Eight Ball
TERM-000678,Groups,Nhóm,Disciplines,Eight Ball
TERM-000679,Groups of Balls,Nhóm Bóng,Disciplines,Eight Ball
TERM-000680,Pocket Groups,Pocket Nhóm,Disciplines,Eight Ball
TERM-000681,Solid Group,Khối Nhóm,Disciplines,Eight Ball
TERM-000682,Stripe Group,Sọc Nhóm,Disciplines,Eight Ball
TERM-000683,Open Table,Bàn Mở,Disciplines,Eight Ball
TERM-000684,Open Break,Break Mở,Disciplines,Eight Ball
TERM-000685,Called Pocket,Gọi Túi,Disciplines,Eight Ball
TERM-000686,Called Shot,Đường Gọi,Disciplines,Eight Ball
TERM-000687,Call Shot,Gọi Đường,Disciplines,Eight Ball
TERM-000688,Called Ball,Gọi Bóng,Disciplines,Eight Ball
TERM-000689,Call Ball,Gọi Bóng,Disciplines,Eight Ball
TERM-000690,Call Pocket,Gọi Túi,Disciplines,Eight Ball
TERM-000691,Slop,Slop,Disciplines,Eight Ball
TERM-000692,Slop Pocket,Túi Slop,Disciplines,Eight Ball
TERM-000693,Pocketed Slop,Túi Slop,Disciplines,Eight Ball
TERM-000694,Cheat the Pocket,Cheat Túi,Disciplines,Eight Ball
TERM-000695,Snookering Yourself,Tự Kẹt,Disciplines,Eight Ball
TERM-000696,Snookered,Kẹt,Disciplines,Eight Ball
TERM-000697,Play Safe,Safe,Disciplines,Eight Ball
TERM-000698,Messy Table,Bàn Lộn Xộn,Pool Shots,Advanced Shots
TERM-000699,Tight Table,Bàn Chặt,Pool Shots,Advanced Shots
TERM-000700,Open Table,Bàn Mở,Pool Shots,Advanced Shots
TERM-000701,Spreading Balls,Bóng Lan Ra,Pool Shots,Advanced Shots
TERM-000702,Good Spread,Tách Tốt,Pool Shots,Advanced Shots
TERM-000703,Bad Spread,Tách Xấu,Pool Shots,Advanced Shots
TERM-000704,Cluster,Nhóm,Pool Shots,Advanced Shots
TERM-000705,Ball Cluster,Nhóm Bóng,Pool Shots,Advanced Shots
TERM-000706,Split Cluster,Tách Nhóm,Pool Shots,Advanced Shots
TERM-000707,Blocking Ball,Bóng Chặn,Pool Shots,Advanced Shots
TERM-000708,Obstructing Ball,Bóng Cản,Pool Shots,Advanced Shots
TERM-000709,Hinderer,Bóng Cản,Pool Shots,Advanced Shots
TERM-000710,Hindered,Bị Cản,Pool Shots,Advanced Shots
TERM-000711,Clear,Hết,Pool Shots,Advanced Shots
TERM-000712,Cleared,Hết,Pool Shots,Advanced Shots
TERM-000713,All Reds,Hết Đỏ,Disciplines,Straight Pool
TERM-000714,All Colors,Hết Màu,Disciplines,Straight Pool
TERM-000715,Innings,Innings,Disciplines,Straight Pool
TERM-000716,Break Innings,Break Innings,Disciplines,Straight Pool
TERM-000717,Ball Under,Viên Dưới,Fundamentals,Terminology
TERM-000718,Ball Over,Viên Trên,Fundamentals,Terminology
TERM-000719,Foot Canon,Pháo Chân,Fundamentals,Terminology
TERM-000720,Pocket Cannon,Túi Cannon,Fundamentals,Terminology
TERM-000721,Nap,Nap,Fundamentals,Equipment
TERM-000722,Napped,Đánh Nap,Fundamentals,Equipment
TERM-000723,Felt Direction,Hướng Nỉ,Fundamentals,Equipment
TERM-000724,Felt Wear,Nỉ Mòn,Fundamentals,Equipment
TERM-000725,With the Nap,Theo Nap,Fundamentals,Equipment
TERM-000726,Against the Nap,Ngược Nap,Fundamentals,Equipment
TERM-000727,Diamond,Diamond,Fundamentals,Equipment
TERM-000728,Diamond Sight,Diamond Nhìn,Fundamentals,Equipment
TERM-000729,Table Diamond,Diamond Bàn,Fundamentals,Equipment
TERM-000730,Rail Diamond,Rail Diamond,Fundamentals,Equipment
TERM-000731,Diamond System,Hệ Diamond,Fundamentals,Aiming
TERM-000732,One Diamond System,Hệ Một Diamond,Fundamentals,Aiming
TERM-000733,Half Diamond System,Hệ Nửa Diamond,Fundamentals,Aiming
TERM-000734,Diamond Alignment,Căn Diamond,Fundamentals,Aiming
TERM-000735,Referee Ball,Bóng Trọng Tài,Fundamentals,Equipment
TERM-000736,Marker,Ký Hiệu,Fundamentals,Equipment
TERM-000737,Chalk Mark,Dấu Phấn,Fundamentals,Equipment
TERM-000738,Table Condition,Tình Trạng Bàn,Fundamentals,Equipment
TERM-000739,Table Speed,Tốc Độ Bàn,Fundamentals,Equipment
TERM-000740,Fast Table,Bàn Nhanh,Fundamentals,Equipment
TERM-000741,Slow Table,Bàn Chậm,Fundamentals,Equipment
TERM-000742,Dead Table,Bàn Chết,Fundamentals,Equipment
TERM-000743,Live Table,Bàn Sống,Fundamentals,Equipment
TERM-000744,Humid Conditions,Điều Kiện Ẩm,Fundamentals,Equipment
TERM-000745,Humidity,Độ Ẩm,Fundamentals,Equipment
TERM-000746,Damp Conditions,Điều Kiện Ướt,Fundamentals,Equipment
TERM-000747,Dry Conditions,Điều Kiện Khô,Fundamentals,Equipment
TERM-000748,Altitude,Độ Cao,Fundamentals,Equipment
TERM-000749,Temperature,Nhiệt Độ,Fundamentals,Equipment
TERM-000750,Air Pressure,Khí Áp,Fundamentals,Equipment
